ApiRequestV0(id=2, productV0=ProductV0(id=2, name=item2, price=2000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=1, productV0=ProductV0(id=1, name=item1, price=1000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=2, productV0=ProductV0(id=2, name=item2, price=2000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=1, productV0=ProductV0(id=1, name=item1, price=1000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=8, productV0=ProductV0(id=8, name=item8, price=2000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=7, productV0=ProductV0(id=7, name=item7, price=1000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=2, productV0=ProductV0(id=2, name=item2, price=2000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=1, productV0=ProductV0(id=1, name=item1, price=1000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=8, productV0=ProductV0(id=8, name=item8, price=2000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=7, productV0=ProductV0(id=7, name=item7, price=1000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=2, productV0=ProductV0(id=2, name=item2, price=2000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=1, productV0=ProductV0(id=1, name=item1, price=1000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=8, productV0=ProductV0(id=8, name=item8, price=2000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=7, productV0=ProductV0(id=7, name=item7, price=1000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=2, productV0=ProductV0(id=2, name=item2, price=2000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
ApiRequestV0(id=1, productV0=ProductV0(id=1, name=item1, price=1000, type=1), apiResponseV0=ApiResponseV0(status=200, msg=product1 was successfully processed))
