ApiRequestV0(id=6, productV0=ProductV0(id=6, name=item6, price=6000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=5, productV0=ProductV0(id=5, name=item5, price=5000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=6, productV0=ProductV0(id=6, name=item6, price=6000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=5, productV0=ProductV0(id=5, name=item5, price=5000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=15, productV0=ProductV0(id=15, name=item15, price=6000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=14, productV0=ProductV0(id=14, name=item14, price=5000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=12, productV0=ProductV0(id=12, name=item12, price=6000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=11, productV0=ProductV0(id=11, name=item11, price=5000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=6, productV0=ProductV0(id=6, name=item6, price=6000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=5, productV0=ProductV0(id=5, name=item5, price=5000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=15, productV0=ProductV0(id=15, name=item15, price=6000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=14, productV0=ProductV0(id=14, name=item14, price=5000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=12, productV0=ProductV0(id=12, name=item12, price=6000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=11, productV0=ProductV0(id=11, name=item11, price=5000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=6, productV0=ProductV0(id=6, name=item6, price=6000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=5, productV0=ProductV0(id=5, name=item5, price=5000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=15, productV0=ProductV0(id=15, name=item15, price=6000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=14, productV0=ProductV0(id=14, name=item14, price=5000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=12, productV0=ProductV0(id=12, name=item12, price=6000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=11, productV0=ProductV0(id=11, name=item11, price=5000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=6, productV0=ProductV0(id=6, name=item6, price=6000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
ApiRequestV0(id=5, productV0=ProductV0(id=5, name=item5, price=5000, type=3), apiResponseV0=ApiResponseV0(status=200, msg=product3 was successfully processed))
